correct,format,problem,response,response_time,size,subject_nr,truth,,,,
1,digit,8,+,6,=,14,a,2518,large,999,T
1,digit,4,+,2,=,5,l,1197,small,999,F
1,word,two,+,nine,=,ten,l,1571,small,999,F
1,digit,8,+,8,=,16,a,714,large,999,T
1,digit,5,+,7,=,11,l,2311,large,999,F
1,word,seven,+,four,=,eleven,a,3959,large,999,T
1,word,seven,+,nine,=,eighteen,l,1767,large,999,F
1,digit,7,+,2,=,6,l,983,small,999,F
1,word,nine,+,nine,=,eighteen,a,1115,large,999,T
1,word,four,+,nine,=,sixteen,l,1452,large,999,F
1,word,two,+,two,=,five,l,985,small,999,F
1,word,three,+,three,=,four,l,1010,small,999,F
1,word,nine,+,five,=,fourteen,a,1226,large,999,T
1,word,two,+,five,=,seven,a,1186,small,999,T
1,digit,3,+,2,=,4,l,764,small,999,F
1,word,two,+,seven,=,eight,l,1383,small,999,F
1,digit,6,+,2,=,8,a,1384,small,999,T
1,word,four,+,eight,=,nine,l,1564,large,999,F
1,digit,8,+,3,=,11,a,1675,small,999,T
1,digit,6,+,6,=,15,l,836,large,999,F
1,digit,7,+,4,=,11,a,2257,large,999,T
1,word,six,+,two,=,eight,a,1439,small,999,T
1,word,six,+,four,=,ten,a,1358,small,999,T
1,digit,5,+,8,=,17,l,4907,large,999,F
1,word,seven,+,six,=,twelve,l,3165,large,999,F
1,digit,2,+,8,=,7,l,945,small,999,F
1,digit,2,+,9,=,8,l,879,small,999,F
1,digit,4,+,6,=,13,l,878,small,999,F
1,digit,7,+,7,=,18,l,913,large,999,F
1,digit,5,+,4,=,11,l,1121,small,999,F
1,digit,3,+,9,=,10,l,1131,large,999,F
1,digit,3,+,7,=,10,a,1121,small,999,T
1,word,four,+,three,=,seven,a,2063,small,999,T
1,word,eight,+,three,=,eleven,a,1890,small,999,T
1,digit,3,+,6,=,9,a,1370,small,999,T
1,digit,9,+,9,=,18,a,738,large,999,T
1,digit,3,+,5,=,8,a,1824,small,999,T
1,word,six,+,nine,=,fourteen,l,2461,large,999,F
1,word,eight,+,nine,=,seventeen,a,1790,large,999,T
1,digit,4,+,3,=,9,l,1598,small,999,F
