"correct","format","problem","response","response_time","size","subject_nr","truth"
"1","digit","4 + 2 = 6","l","1128","small","130","T"
"1","word","two + two = four","l","1169","small","130","T"
"1","digit","4 + 8 = 11","a","987","large","130","F"
"1","word","eight + five = seventeen","a","5158","large","130","F"
"1","word","three + four = six","a","2613","small","130","F"
"1","digit","2 + 8 = 10","l","1302","small","130","T"
"0","word","four + eight = twelve","a","2785","large","130","T"
"1","digit","4 + 4 = 9","a","1138","small","130","F"
"1","word","five + three = eight","l","1637","small","130","T"
"1","word","three + three = six","l","1212","small","130","T"
"1","digit","6 + 2 = 5","a","1750","small","130","F"
"1","word","eight + two = ten","l","1951","small","130","T"
"1","word","six + five = ten","a","2320","large","130","F"
"1","digit","5 + 7 = 12","l","3505","large","130","T"
"1","digit","3 + 6 = 7","a","1600","small","130","F"
"1","digit","3 + 4 = 7","l","1150","small","130","T"
"1","digit","5 + 8 = 13","l","2963","large","130","T"
"0","digit","3 + 9 = 12","a","2256","large","130","T"
"0","word","four + nine = thirteen","a","2872","large","130","T"
"1","word","seven + five = fourteen","a","5739","large","130","F"
"1","digit","5 + 5 = 8","a","1246","small","130","F"
"1","word","four + five = thirteen","a","4235","small","130","F"
"1","digit","5 + 4 = 9","l","1910","small","130","T"
"1","digit","7 + 9 = 16","l","2262","large","130","T"
"1","word","nine + five = eleven","a","2594","large","130","F"
"1","digit","3 + 3 = 6","l","1557","small","130","T"
"1","word","seven + three = fourteen","a","3586","small","130","F"
"1","word","three + two = seven","a","2382","small","130","F"
"1","word","three + nine = twelve","l","2551","large","130","T"
"1","word","six + six = nine","a","2069","large","130","F"
"1","digit","2 + 3 = 5","l","943","small","130","T"
"1","word","six + four = nine","a","2374","small","130","F"
"1","digit","9 + 5 = 16","a","4643","large","130","F"
"1","digit","7 + 4 = 13","a","4719","large","130","F"
"1","digit","3 + 8 = 10","a","1283","small","130","F"
"1","word","six + eight = fourteen","l","4176","large","130","T"
"1","word","eight + eight = eighteen","a","1931","large","130","F"
"1","word","seven + four = twelve","a","4215","large","130","F"
"1","digit","7 + 8 = 15","l","5371","large","130","T"
"1","digit","5 + 3 = 4","a","2200","small","130","F"
"1","digit","6 + 5 = 14","a","2154","large","130","F"
"1","digit","8 + 6 = 18","a","4762","large","130","F"
"1","word","two + four = six","l","1721","small","130","T"
"1","word","eight + seven = fifteen","l","1846","large","130","T"
"1","word","seven + nine = sixteen","l","2474","large","130","T"
"1","word","five + two = four","a","1950","small","130","F"
"1","digit","7 + 7 = 14","l","1151","large","130","T"
"1","digit","9 + 8 = 15","a","1643","large","130","F"
"1","digit","8 + 8 = 13","a","1032","large","130","F"
"1","word","three + eight = twelve","a","5336","small","130","F"
"1","word","eight + nine = sixteen","a","3243","large","130","F"
"1","word","nine + six = fifteen","l","2274","large","130","T"
"1","digit","6 + 6 = 12","l","1205","large","130","T"
"1","digit","2 + 5 = 11","a","2011","small","130","F"
"1","word","seven + six = thirteen","l","4073","large","130","T"
"1","digit","2 + 2 = 6","a","1257","small","130","F"
"1","word","two + nine = eleven","l","3475","small","130","T"
"1","digit","6 + 4 = 10","l","1029","small","130","T"
"1","word","seven + two = nine","l","3610","small","130","T"
"1","word","four + four = eight","l","1239","small","130","T"
"1","digit","7 + 3 = 12","a","1242","small","130","F"
"1","digit","2 + 7 = 9","l","1252","small","130","T"
"1","word","five + five = eight","a","1353","small","130","F"
"1","word","nine + nine = fifteen","a","1580","large","130","F"
"1","word","seven + seven = fourteen","l","1330","large","130","T"
"1","word","six + three = nine","l","1870","small","130","T"
"1","word","two + six = five","a","4053","small","130","F"
"1","digit","6 + 7 = 13","l","5256","large","130","T"
"1","digit","9 + 9 = 17","a","1111","large","130","F"
"1","digit","4 + 9 = 13","l","1754","large","130","T"
"1","digit","2 + 9 = 11","l","1416","small","130","T"
"1","digit","9 + 6 = 11","a","2881","large","130","F"
"1","digit","6 + 5 = 11","l","1095","large","130","T"
"1","digit","5 + 2 = 7","l","986","small","130","T"
"0","digit","3 + 7 = 10","a","1798","small","130","T"
"1","word","seven + four = eleven","l","3777","large","130","T"
"1","digit","3 + 9 = 10","a","1304","large","130","F"
"1","word","four + nine = sixteen","a","1439","large","130","F"
"1","digit","9 + 9 = 18","l","741","large","130","T"
"1","word","five + eight = thirteen","l","2801","large","130","T"
"1","digit","5 + 7 = 11","a","3719","large","130","F"
"0","digit","7 + 2 = 6","l","2094","small","130","F"
"1","word","five + four = nine","l","1648","small","130","T"
"1","word","nine + five = fourteen","l","2451","large","130","T"
"1","digit","2 + 2 = 4","l","840","small","130","T"
"1","digit","9 + 8 = 17","l","1052","large","130","T"
"1","digit","3 + 2 = 4","a","1633","small","130","F"
"1","word","seven + eight = thirteen","a","2566","large","130","F"
"1","word","two + eight = eleven","a","1923","small","130","F"
"1","digit","8 + 7 = 12","a","1363","large","130","F"
"1","word","eight + nine = seventeen","l","2933","large","130","T"
"1","digit","2 + 8 = 7","a","1961","small","130","F"
"1","digit","5 + 8 = 17","a","3327","large","130","F"
"1","word","six + four = ten","l","2044","small","130","T"
"1","word","two + seven = eight","a","1816","small","130","F"
"1","word","six + six = twelve","l","1149","large","130","T"
"1","word","four + four = six","a","1418","small","130","F"
"1","word","seven + nine = eighteen","a","3749","large","130","F"
"1","digit","6 + 7 = 14","a","3503","large","130","F"
"1","word","two + five = seven","l","1590","small","130","T"
"1","digit","3 + 6 = 9","l","1018","small","130","T"
"1","digit","6 + 2 = 8","l","1386","small","130","T"
"1","digit","5 + 4 = 11","a","1678","small","130","F"
"1","word","three + seven = ten","l","2759","small","130","T"
"1","digit","4 + 6 = 13","a","998","small","130","F"
"0","digit","7 + 4 = 11","a","1835","large","130","T"
"1","digit","4 + 3 = 9","a","2776","small","130","F"
"1","word","seven + six = twelve","a","3131","large","130","F"
"1","digit","8 + 3 = 11","l","3740","small","130","T"
"1","word","two + four = nine","a","1932","small","130","F"
"1","digit","8 + 8 = 16","l","827","large","130","T"
"1","digit","6 + 6 = 15","a","1128","large","130","F"
"1","word","eight + six = seventeen","a","3190","large","130","F"
"1","digit","8 + 6 = 14","l","2934","large","130","T"
"1","digit","6 + 9 = 15","l","1888","large","130","T"
"1","word","six + nine = fourteen","a","2612","large","130","F"
"1","word","seven + seven = fifteen","a","1456","large","130","F"
"1","digit","3 + 3 = 7","a","1217","small","130","F"
"1","word","four + eight = nine","a","1974","large","130","F"
"1","word","four + three = seven","l","2150","small","130","T"
"1","digit","3 + 5 = 8","l","1154","small","130","T"
"1","word","three + three = four","a","2152","small","130","F"
"1","word","three + two = five","l","1728","small","130","T"
"1","word","two + two = five","a","1256","small","130","F"
"1","digit","4 + 4 = 8","l","930","small","130","T"
"1","digit","5 + 5 = 10","l","914","small","130","T"
"1","word","six + five = eleven","l","1267","large","130","T"
"1","word","three + nine = eleven","a","2483","large","130","F"
"1","digit","4 + 2 = 5","a","1413","small","130","F"
"1","digit","8 + 4 = 12","l","1828","large","130","T"
"1","word","eight + eight = sixteen","l","1541","large","130","T"
"1","word","five + five = ten","l","1192","small","130","T"
"1","digit","2 + 9 = 8","a","1298","small","130","F"
"1","word","five + seven = twelve","l","3250","large","130","T"
"1","digit","7 + 9 = 13","a","1412","large","130","F"
"1","word","two + nine = ten","a","2207","small","130","F"
"1","digit","7 + 7 = 18","a","1190","large","130","F"
"1","digit","4 + 9 = 16","a","1907","large","130","F"
"1","word","nine + nine = eighteen","l","962","large","130","T"
"1","word","six + two = eight","l","1280","small","130","T"
"0","digit","9 + 5 = 14","a","1309","large","130","T"
"1","word","three + five = twelve","a","2099","small","130","F"
"1","word","eight + three = eleven","l","2612","small","130","T"
"1","word","three + six = seven","a","1872","small","130","F"
"1","word","two + seven = nine","l","1959","small","130","T"
"1","digit","3 + 6 = 8","a","1203","small","130","F"
"1","word","four + five = ten","a","1470","small","130","F"
"1","word","six + two = seven","a","2089","small","130","F"
"1","word","three + nine = twelve","l","2572","large","130","T"
"1","digit","4 + 6 = 10","l","887","small","130","T"
"1","word","eight + eight = thirteen","a","1371","large","130","F"
"1","digit","3 + 3 = 6","l","1184","small","130","T"
"1","digit","3 + 4 = 7","l","1149","small","130","T"
"1","digit","4 + 2 = 6","l","926","small","130","T"
"1","word","nine + nine = seventeen","a","1198","large","130","F"
"1","digit","5 + 4 = 9","l","944","small","130","T"
"1","digit","8 + 4 = 13","a","2410","large","130","F"
"1","digit","5 + 6 = 13","a","1196","large","130","F"
"1","word","six + six = eleven","a","1466","large","130","F"
"1","digit","5 + 5 = 12","a","1517","small","130","F"
"1","digit","3 + 2 = 5","l","941","small","130","T"
"1","word","six + four = eight","a","3565","small","130","F"
"1","word","five + eight = fifteen","a","1451","large","130","F"
"1","word","four + seven = fifteen","a","2844","large","130","F"
"1","digit","7 + 9 = 16","l","1894","large","130","T"
"1","word","nine + eight = eighteen","a","1784","large","130","F"
"1","digit","2 + 8 = 10","l","1047","small","130","T"
"1","digit","9 + 9 = 16","a","921","large","130","F"
"1","digit","9 + 5 = 18","a","1453","large","130","F"
"1","word","five + seven = sixteen","a","2925","large","130","F"
"1","digit","2 + 2 = 5","a","1333","small","130","F"
"1","word","seven + seven = fourteen","l","1278","large","130","T"
"1","word","seven + eight = fifteen","l","1397","large","130","T"
"1","digit","2 + 5 = 4","a","2782","small","130","F"
"1","digit","7 + 3 = 6","a","1705","small","130","F"
"1","digit","9 + 8 = 14","a","1642","large","130","F"
"1","word","three + three = six","l","1204","small","130","T"
"1","word","six + five = fourteen","a","2394","large","130","F"
"0","word","six + eight = fourteen","a","1764","large","130","T"
"1","digit","5 + 3 = 7","a","1549","small","130","F"
"1","digit","6 + 9 = 12","a","1406","large","130","F"
"1","word","six + seven = thirteen","l","2666","large","130","T"
"1","word","two + three = four","a","1659","small","130","F"
"1","digit","9 + 2 = 11","l","1833","small","130","T"
"1","digit","8 + 7 = 15","l","1002","large","130","T"
"1","word","eight + three = seven","a","2216","small","130","F"
"1","word","three + four = five","a","1978","small","130","F"
"1","word","three + seven = twelve","a","5833","small","130","F"
"1","digit","6 + 8 = 17","a","2399","large","130","F"
"1","word","two + eight = ten","l","1560","small","130","T"
"0","word","eight + four = twelve","a","6038","large","130","T"
"1","digit","8 + 8 = 15","a","983","large","130","F"
"1","word","two + two = four","l","1497","small","130","T"
"1","word","nine + five = twelve","a","1834","large","130","F"
"1","digit","7 + 4 = 12","a","2404","large","130","F"
"1","digit","7 + 5 = 12","l","2347","large","130","T"
"1","word","five + three = eight","l","1737","small","130","T"
"0","word","seven + nine = sixteen","a","2087","large","130","T"
"1","word","nine + four = thirteen","l","2071","large","130","T"
"1","digit","4 + 9 = 13","l","1516","large","130","T"
"1","word","six + nine = fifteen","l","2724","large","130","T"
"1","word","six + three = nine","l","1802","small","130","T"
"1","digit","4 + 4 = 10","a","898","small","130","F"
"1","digit","6 + 6 = 12","l","881","large","130","T"
"1","digit","2 + 7 = 9","l","2314","small","130","T"
"1","word","two + five = six","a","1579","small","130","F"
"1","word","four + four = eight","l","994","small","130","T"
"1","digit","3 + 9 = 12","l","1503","large","130","T"
"1","digit","7 + 7 = 14","l","912","large","130","T"
"1","digit","3 + 8 = 9","a","2139","small","130","F"
"1","digit","6 + 2 = 11","a","1746","small","130","F"
"1","digit","6 + 7 = 13","l","2225","large","130","T"
"1","word","five + five = nine","a","1885","small","130","F"
"1","word","four + two = six","l","1956","small","130","T"
"1","word","two + nine = eleven","l","2292","small","130","T"
"0","digit","5 + 8 = 13","a","2498","large","130","T"
"1","word","eight + two = nine","a","3527","small","130","F"
"1","word","four + two = seven","a","2549","small","130","F"
"1","word","four + five = nine","l","1526","small","130","T"
"1","word","eight + seven = twelve","a","2516","large","130","F"
"1","word","eight + three = eleven","l","2058","small","130","T"
"1","digit","9 + 6 = 15","l","2166","large","130","T"
"1","digit","8 + 8 = 16","l","884","large","130","T"
"1","digit","3 + 7 = 10","l","922","small","130","T"
"1","digit","6 + 6 = 14","a","908","large","130","F"
"1","word","six + five = eleven","l","1152","large","130","T"
"1","word","six + two = eight","l","3222","small","130","T"
"1","word","seven + seven = seventeen","a","1184","large","130","F"
"1","digit","8 + 6 = 14","l","2733","large","130","T"
"0","word","five + eight = thirteen","a","2910","large","130","T"
"1","word","nine + nine = eighteen","l","1131","large","130","T"
"1","word","six + three = eleven","a","1691","small","130","F"
"1","digit","5 + 7 = 10","a","984","large","130","F"
"1","digit","2 + 7 = 8","a","1960","small","130","F"
"1","digit","5 + 8 = 16","a","2536","large","130","F"
"1","word","seven + four = eleven","l","2722","large","130","T"
"1","digit","6 + 7 = 15","a","2425","large","130","F"
"1","word","four + four = seven","a","1350","small","130","F"
"1","word","eight + eight = sixteen","l","1403","large","130","T"
"1","digit","5 + 4 = 6","a","1225","small","130","F"
"1","word","seven + nine = fifteen","a","3494","large","130","F"
"1","digit","9 + 9 = 18","l","742","large","130","T"
"1","digit","3 + 8 = 11","l","1668","small","130","T"
"1","word","six + seven = eleven","a","2022","large","130","F"
"1","digit","2 + 9 = 12","a","2076","small","130","F"
"1","digit","8 + 9 = 17","l","1993","large","130","T"
"1","word","four + nine = fourteen","a","1705","large","130","F"
"1","word","five + three = four","a","3867","small","130","F"
"1","word","nine + two = six","a","1719","small","130","F"
"1","word","six + four = ten","l","1540","small","130","T"
"1","digit","6 + 3 = 9","l","1270","small","130","T"
"0","word","seven + five = twelve","a","3256","large","130","T"
"1","word","eight + six = eighteen","a","3452","large","130","F"
