"correct","format","problem","response","response_time","size","subject_nr","truth"
"1","word","four + nine = thirteen","a","3239","large","115","T"
"1","word","eight + two = ten","a","1399","small","115","T"
"1","digit","3 + 8 = 10","l","1637","small","115","F"
"1","digit","6 + 7 = 13","a","1098","large","115","T"
"1","word","seven + three = fourteen","l","3831","small","115","F"
"1","digit","5 + 8 = 13","a","867","large","115","T"
"1","word","six + five = ten","l","1687","large","115","F"
"1","word","three + eight = twelve","l","2475","small","115","F"
"1","digit","9 + 8 = 15","l","1757","large","115","F"
"1","word","three + four = six","l","2171","small","115","F"
"1","word","five + two = four","l","2644","small","115","F"
"1","digit","2 + 5 = 11","l","1244","small","115","F"
"1","digit","3 + 4 = 7","a","916","small","115","T"
"1","word","four + four = eight","a","1231","small","115","T"
"1","digit","8 + 8 = 13","l","999","large","115","F"
"1","word","five + five = eight","l","1089","small","115","F"
"1","word","three + two = seven","l","2915","small","115","F"
"1","word","nine + nine = fifteen","l","1247","large","115","F"
"1","word","four + five = thirteen","l","1421","small","115","F"
"1","word","seven + two = nine","a","1968","small","115","T"
"0","digit","3 + 3 = 6","l","798","small","115","T"
"1","digit","6 + 5 = 14","l","1727","large","115","F"
"1","digit","4 + 4 = 9","l","1108","small","115","F"
"1","digit","7 + 7 = 14","a","1063","large","115","T"
"1","word","six + six = nine","l","1063","large","115","F"
"1","digit","2 + 8 = 10","a","976","small","115","T"
"1","digit","3 + 9 = 12","a","990","large","115","T"
"1","word","three + nine = twelve","a","1508","large","115","T"
"1","word","seven + five = fourteen","l","2482","large","115","F"
"1","digit","2 + 2 = 6","l","872","small","115","F"
"1","digit","6 + 2 = 5","l","1104","small","115","F"
"1","digit","2 + 9 = 11","a","880","small","115","T"
"1","word","six + three = nine","a","2095","small","115","T"
"1","word","six + four = nine","l","1154","small","115","F"
"0","digit","4 + 9 = 13","l","992","large","115","T"
"1","digit","7 + 8 = 15","a","911","large","115","T"
"1","digit","2 + 7 = 9","a","1324","small","115","T"
"1","digit","2 + 3 = 5","a","926","small","115","T"
"1","digit","7 + 3 = 12","l","1382","small","115","F"
"1","word","eight + seven = fifteen","a","1394","large","115","T"
"1","word","eight + eight = eighteen","l","1279","large","115","F"
"1","word","seven + four = twelve","l","3714","large","115","F"
"1","word","four + eight = twelve","a","1917","large","115","T"
"1","word","five + three = eight","a","1632","small","115","T"
"1","word","nine + five = eleven","l","1953","large","115","F"
"1","word","six + eight = fourteen","a","2108","large","115","T"
"1","digit","5 + 7 = 12","a","817","large","115","T"
"1","word","eight + five = seventeen","l","2541","large","115","F"
