"correct","format","problem","response","response_time","size","subject_nr","truth"
"1","word","three + two = seven","a","1476","small","106","F"
"1","digit","6 + 5 = 14","a","1409","large","106","F"
"1","digit","2 + 8 = 10","l","752","small","106","T"
"1","digit","2 + 9 = 11","l","724","small","106","T"
"1","digit","4 + 2 = 6","l","948","small","106","T"
"1","word","seven + two = nine","l","848","small","106","T"
"1","word","six + eight = fourteen","l","1324","large","106","T"
"1","digit","2 + 3 = 5","l","747","small","106","T"
"1","word","two + two = four","l","820","small","106","T"
"0","word","six + four = nine","l","1370","small","106","F"
"1","word","eight + nine = sixteen","a","2278","large","106","F"
"1","word","eight + five = seventeen","a","1564","large","106","F"
"1","word","four + four = eight","l","1114","small","106","T"
"1","word","eight + eight = eighteen","a","1480","large","106","F"
"1","digit","2 + 7 = 9","l","699","small","106","T"
"1","word","nine + five = eleven","a","1132","large","106","F"
"1","word","seven + three = fourteen","a","1518","small","106","F"
"1","digit","7 + 7 = 14","l","858","large","106","T"
"0","digit","5 + 8 = 13","a","2695","large","106","T"
"1","digit","6 + 4 = 10","l","773","small","106","T"
"1","digit","6 + 2 = 5","a","965","small","106","F"
"1","digit","8 + 8 = 13","a","762","large","106","F"
"1","digit","2 + 5 = 11","a","881","small","106","F"
"1","digit","9 + 8 = 15","a","1825","large","106","F"
"1","digit","7 + 9 = 16","l","1708","large","106","T"
"1","word","six + five = ten","a","1455","large","106","F"
"1","word","seven + four = twelve","a","1679","large","106","F"
"1","digit","3 + 3 = 6","l","787","small","106","T"
"1","word","nine + six = fifteen","l","1425","large","106","T"
"1","word","eight + two = ten","l","1099","small","106","T"
"1","digit","5 + 7 = 12","l","874","large","106","T"
"1","digit","5 + 4 = 9","l","685","small","106","T"
"1","digit","7 + 4 = 13","a","908","large","106","F"
"1","word","seven + six = thirteen","l","3423","large","106","T"
"1","word","eight + seven = fifteen","l","1458","large","106","T"
"1","word","three + four = six","a","1236","small","106","F"
"1","word","three + nine = twelve","l","2414","large","106","T"
"1","word","five + five = eight","a","1064","small","106","F"
"1","digit","5 + 3 = 4","a","1083","small","106","F"
"1","digit","7 + 3 = 12","a","1054","small","106","F"
"0","word","two + six = five","l","1025","small","106","F"
"1","digit","4 + 8 = 11","a","1670","large","106","F"
"1","digit","3 + 6 = 7","a","942","small","106","F"
"1","word","five + three = eight","l","1162","small","106","T"
"1","word","six + three = nine","l","1151","small","106","T"
"1","word","seven + seven = fourteen","l","1073","large","106","T"
"1","digit","4 + 9 = 13","l","1248","large","106","T"
"1","word","two + four = six","l","1444","small","106","T"
"1","word","nine + nine = fifteen","a","1034","large","106","F"
"1","digit","2 + 2 = 6","a","837","small","106","F"
"1","digit","9 + 9 = 17","a","726","large","106","F"
"1","word","four + nine = thirteen","l","3015","large","106","T"
"1","digit","4 + 4 = 9","a","771","small","106","F"
"1","word","three + eight = twelve","a","2383","small","106","F"
"1","digit","3 + 4 = 7","l","760","small","106","T"
"1","digit","6 + 6 = 12","l","677","large","106","T"
"1","digit","3 + 8 = 10","a","728","small","106","F"
"1","word","seven + nine = sixteen","l","1448","large","106","T"
"1","word","five + two = four","a","1149","small","106","F"
