"correct","format","problem","response","response_time","size","subject_nr","truth"
"1","word","six + three = nine","a","2214","small","119","T"
"1","word","six + five = ten","l","1680","large","119","F"
"1","word","seven + two = nine","a","1544","small","119","T"
"1","word","seven + three = fourteen","l","2372","small","119","F"
"1","word","six + four = nine","l","1423","small","119","F"
"1","digit","7 + 3 = 12","l","1142","small","119","F"
"1","word","five + three = eight","a","2465","small","119","T"
"1","word","eight + nine = sixteen","l","15144","large","119","F"
"1","word","three + nine = twelve","a","2184","large","119","T"
"1","digit","4 + 4 = 9","l","1136","small","119","F"
"1","word","six + eight = fourteen","a","8038","large","119","T"
"1","digit","2 + 2 = 6","l","1030","small","119","F"
"1","digit","4 + 2 = 6","a","983","small","119","T"
"1","digit","5 + 4 = 9","a","1177","small","119","T"
"1","digit","3 + 6 = 7","l","1976","small","119","F"
"1","word","nine + nine = fifteen","l","2851","large","119","F"
"0","digit","4 + 8 = 11","a","2063","large","119","F"
"1","digit","8 + 6 = 18","l","3","large","119","F"
"1","word","two + four = six","a","4982","small","119","T"
"1","word","seven + six = thirteen","a","7055","large","119","T"
"1","word","eight + five = seventeen","l","9798","large","119","F"
"1","digit","5 + 3 = 4","l","2813","small","119","F"
"1","digit","5 + 5 = 8","l","1401","small","119","F"
"1","digit","7 + 4 = 13","l","1282","large","119","F"
"1","word","three + two = seven","l","2584","small","119","F"
"1","word","seven + four = twelve","l","4388","large","119","F"
"1","digit","7 + 7 = 14","a","1451","large","119","T"
"1","word","nine + five = eleven","l","6341","large","119","F"
"1","word","two + two = four","a","1667","small","119","T"
"1","word","four + four = eight","a","1494","small","119","T"
"1","digit","7 + 8 = 15","a","10022","large","119","T"
"1","digit","3 + 9 = 12","a","1216","large","119","T"
"1","word","two + six = five","l","2934","small","119","F"
"1","digit","7 + 9 = 16","a","5510","large","119","T"
"1","word","five + two = four","l","2311","small","119","F"
"1","digit","2 + 8 = 10","a","1124","small","119","T"
"1","word","seven + nine = sixteen","a","2172","large","119","T"
"1","digit","6 + 7 = 13","a","10964","large","119","T"
"1","digit","6 + 4 = 10","a","1191","small","119","T"
"1","digit","2 + 7 = 9","a","2006","small","119","T"
"1","digit","8 + 8 = 13","l","1297","large","119","F"
"1","digit","5 + 7 = 12","a","4499","large","119","T"
"1","word","three + eight = twelve","l","5185","small","119","F"
"1","digit","2 + 9 = 11","a","3168","small","119","T"
"1","digit","6 + 5 = 14","l","2979","large","119","F"
"1","word","three + three = six","a","3278","small","119","T"
"1","word","four + five = thirteen","l","2612","small","119","F"
"1","word","three + four = six","l","2080","small","119","F"
"1","word","eight + eight = eighteen","l","2288","large","119","F"
"1","word","eight + two = ten","a","2515","small","119","T"
"1","word","four + nine = thirteen","a","5824","large","119","T"
"1","digit","5 + 8 = 13","a","5945","large","119","T"
"1","word","five + five = eight","l","1488","small","119","F"
"1","digit","6 + 6 = 12","a","1098","large","119","T"
"1","word","eight + seven = fifteen","a","7257","large","119","T"
"0","word","two + nine = eleven","l","2763","small","119","T"
"1","digit","3 + 3 = 6","a","4411","small","119","T"
"1","digit","4 + 9 = 13","a","6124","large","119","T"
"1","digit","9 + 6 = 11","l","6502","large","119","F"
"1","digit","9 + 5 = 16","l","6232","large","119","F"
"1","word","four + eight = twelve","a","10186","large","119","T"
"1","digit","9 + 9 = 17","l","1381","large","119","F"
"1","digit","3 + 8 = 10","l","1173","small","119","F"
"1","word","seven + seven = fourteen","a","1791","large","119","T"
"1","digit","2 + 3 = 5","a","4993","small","119","T"
"1","digit","9 + 8 = 15","l","7348","large","119","F"
"1","word","seven + five = fourteen","l","7040","large","119","F"
"1","digit","6 + 2 = 5","l","1518","small","119","F"
"1","digit","2 + 5 = 11","l","2292","small","119","F"
"0","digit","3 + 4 = 7","l","1509","small","119","T"
"1","word","six + six = nine","l","4222","large","119","F"
"1","word","nine + six = fifteen","a","13411","large","119","T"
"1","word","seven + four = eleven","a","5960","large","119","T"
"1","digit","6 + 5 = 11","a","3034","large","119","T"
"1","word","five + eight = thirteen","a","9229","large","119","T"
"1","word","three + two = five","a","2234","small","119","T"
"1","digit","2 + 8 = 7","l","4685","small","119","F"
"0","word","three + seven = ten","l","4605","small","119","T"
"1","digit","9 + 8 = 17","a","7835","large","119","T"
"1","digit","8 + 3 = 11","a","4637","small","119","T"
"0","digit","7 + 4 = 11","l","2559","large","119","T"
"1","digit","3 + 7 = 10","a","3951","small","119","T"
"1","word","three + five = twelve","l","4761","small","119","F"
"1","digit","5 + 4 = 11","l","2874","small","119","F"
"1","word","four + eight = nine","l","1964","large","119","F"
"1","digit","4 + 6 = 13","l","1122","small","119","F"
"1","word","eight + three = eleven","a","7712","small","119","T"
"1","digit","2 + 2 = 4","a","1089","small","119","T"
"1","digit","8 + 8 = 16","a","1539","large","119","T"
"1","word","four + nine = sixteen","l","5186","large","119","F"
"0","word","six + four = ten","l","1699","small","119","T"
"1","digit","5 + 5 = 10","a","1478","small","119","T"
"1","digit","9 + 5 = 14","a","6058","large","119","T"
"1","digit","4 + 9 = 16","l","3619","large","119","F"
"1","word","six + six = twelve","a","3150","large","119","T"
"1","word","four + three = seven","a","2660","small","119","T"
"1","digit","6 + 9 = 15","a","9358","large","119","T"
"1","word","two + two = five","l","1781","small","119","F"
"1","word","six + five = eleven","a","5731","large","119","T"
"0","word","three + six = seven","a","6033","small","119","F"
"1","digit","5 + 2 = 7","a","2773","small","119","T"
"1","word","eight + six = seventeen","l","6035","large","119","F"
