"correct","format","problem","response","response_time","size","subject_nr","truth"
"1","word","six + four = nine","l","2854","small","129","F"
"1","word","eight + eight = eighteen","l","1534","large","129","F"
"1","word","three + four = six","l","1453","small","129","F"
"1","digit","6 + 2 = 5","l","1118","small","129","F"
"0","word","nine + six = fifteen","l","1600","large","129","T"
"1","word","four + five = thirteen","l","1369","small","129","F"
"1","word","six + three = nine","a","1079","small","129","T"
"1","word","three + two = seven","l","1590","small","129","F"
"1","digit","2 + 2 = 6","l","1185","small","129","F"
"1","digit","9 + 8 = 15","l","2665","large","129","F"
"1","digit","3 + 8 = 10","l","1325","small","129","F"
"1","digit","6 + 6 = 12","a","921","large","129","T"
"1","word","four + eight = twelve","a","2604","large","129","T"
"1","word","five + two = four","l","1130","small","129","F"
"1","word","three + nine = twelve","a","1639","large","129","T"
"1","word","five + three = eight","a","1432","small","129","T"
"1","digit","5 + 3 = 4","l","1007","small","129","F"
"1","word","seven + six = thirteen","a","3027","large","129","T"
"1","word","nine + nine = fifteen","l","1197","large","129","F"
"1","word","two + two = four","a","1102","small","129","T"
"1","word","seven + five = fourteen","l","1482","large","129","F"
"1","digit","4 + 2 = 6","a","1523","small","129","T"
"1","word","eight + two = ten","a","1322","small","129","T"
"1","digit","7 + 3 = 12","l","1245","small","129","F"
"1","word","eight + nine = sixteen","l","3773","large","129","F"
"1","digit","3 + 6 = 7","l","1315","small","129","F"
"0","digit","7 + 9 = 16","l","2793","large","129","T"
"1","digit","4 + 9 = 13","a","2590","large","129","T"
"1","digit","9 + 5 = 16","l","4061","large","129","F"
"1","word","four + nine = thirteen","a","1966","large","129","T"
"1","digit","4 + 8 = 11","l","1564","large","129","F"
"1","word","seven + two = nine","a","1379","small","129","T"
"1","digit","5 + 8 = 13","a","1311","large","129","T"
"1","digit","3 + 4 = 7","a","1091","small","129","T"
"1","word","three + eight = twelve","l","2983","small","129","F"
"1","digit","2 + 9 = 11","a","1279","small","129","T"
"1","word","six + five = ten","l","1821","large","129","F"
"1","word","eight + seven = fifteen","a","1817","large","129","T"
"1","word","seven + nine = sixteen","a","2588","large","129","T"
"1","digit","8 + 8 = 13","l","836","large","129","F"
"1","word","five + five = eight","l","1205","small","129","F"
"1","digit","9 + 9 = 17","l","1275","large","129","F"
"1","digit","7 + 8 = 15","a","1173","large","129","T"
"1","digit","9 + 6 = 11","l","1678","large","129","F"
"1","digit","5 + 5 = 8","l","867","small","129","F"
"1","digit","2 + 3 = 5","a","910","small","129","T"
"1","word","two + four = six","a","1806","small","129","T"
"1","digit","4 + 4 = 9","l","755","small","129","F"
"1","word","six + eight = fourteen","a","2723","large","129","T"
"1","digit","8 + 6 = 18","l","1232","large","129","F"
"1","word","seven + seven = fourteen","a","1460","large","129","T"
"1","word","nine + five = eleven","l","1519","large","129","F"
"1","word","six + six = nine","l","1088","large","129","F"
"1","word","eight + five = seventeen","l","1695","large","129","F"
"1","digit","3 + 9 = 12","a","865","large","129","T"
"1","word","three + three = six","a","1220","small","129","T"
"1","digit","2 + 7 = 9","a","796","small","129","T"
"1","digit","5 + 7 = 12","a","913","large","129","T"
"1","digit","7 + 7 = 14","a","884","large","129","T"
"1","digit","5 + 4 = 9","a","857","small","129","T"
"1","word","two + nine = eleven","a","997","small","129","T"
"1","digit","2 + 8 = 10","a","660","small","129","T"
"1","digit","3 + 3 = 6","a","589","small","129","T"
"1","word","four + four = eight","a","1104","small","129","T"
"0","digit","7 + 4 = 13","a","1267","large","129","F"
"1","digit","6 + 7 = 13","a","1132","large","129","T"
