"correct","format","problem","response","response_time","size","subject_nr","truth"
"1","digit","3 + 3 = 6","a","1334","small","127","T"
"1","word","six + three = nine","a","4173","small","127","T"
"1","word","seven + seven = fourteen","a","1778","large","127","T"
"1","digit","5 + 4 = 9","a","2079","small","127","T"
"1","digit","5 + 7 = 12","a","3937","large","127","T"
"1","digit","6 + 6 = 12","a","1017","large","127","T"
"1","digit","9 + 6 = 11","l","2315","large","127","F"
"1","word","two + two = four","a","1461","small","127","T"
"1","word","eight + seven = fifteen","a","2571","large","127","T"
"1","word","six + five = ten","l","2148","large","127","F"
"1","digit","6 + 7 = 13","a","4610","large","127","T"
"1","digit","7 + 3 = 12","l","3512","small","127","F"
"1","digit","4 + 4 = 9","l","2060","small","127","F"
"1","word","three + eight = twelve","l","4749","small","127","F"
"1","digit","3 + 6 = 7","l","2944","small","127","F"
"1","digit","9 + 8 = 15","l","4048","large","127","F"
"1","word","eight + five = seventeen","l","5985","large","127","F"
"1","digit","8 + 6 = 18","l","2752","large","127","F"
"0","digit","7 + 8 = 15","l","4642","large","127","T"
"1","word","seven + nine = sixteen","a","5172","large","127","T"
"1","digit","3 + 8 = 10","l","4034","small","127","F"
"1","word","seven + three = fourteen","l","2977","small","127","F"
"1","word","four + nine = thirteen","a","5829","large","127","T"
"1","digit","9 + 9 = 17","l","1546","large","127","F"
"1","word","five + two = four","l","4312","small","127","F"
"1","word","eight + two = ten","a","2679","small","127","T"
"1","word","three + four = six","l","4866","small","127","F"
"1","word","six + eight = fourteen","a","4355","large","127","T"
"1","word","seven + five = fourteen","l","3575","large","127","F"
"1","word","eight + nine = sixteen","l","3047","large","127","F"
"1","word","two + six = five","l","2529","small","127","F"
"1","digit","7 + 7 = 14","a","1314","large","127","T"
"1","word","four + four = eight","a","1490","small","127","T"
"1","digit","6 + 5 = 14","l","3778","large","127","F"
"1","digit","6 + 4 = 10","a","1959","small","127","T"
"1","digit","7 + 9 = 16","a","5097","large","127","T"
"1","word","seven + four = twelve","l","3248","large","127","F"
"1","digit","4 + 2 = 6","a","3442","small","127","T"
