"correct","format","problem","response","response_time","size","subject_nr","truth"
"0","digit","2 + 9 = 11","a","1064","small","118","T"
"1","digit","2 + 3 = 5","l","1626","small","118","T"
"0","digit","2 + 5 = 11","l","5283","small","118","F"
"0","digit","7 + 3 = 12","l","1362","small","118","F"
"0","digit","5 + 7 = 12","a","1349","large","118","T"
"0","word","six + six = nine","l","1885","large","118","F"
"0","digit","6 + 2 = 5","l","1750","small","118","F"
"0","digit","7 + 9 = 16","a","1566","large","118","T"
"0","digit","5 + 8 = 13","a","1133","large","118","T"
"0","digit","5 + 5 = 8","l","1585","small","118","F"
"0","word","seven + nine = sixteen","a","2838","large","118","T"
"0","word","two + six = five","l","3388","small","118","F"
"0","digit","4 + 9 = 13","a","1012","large","118","T"
"0","word","eight + nine = sixteen","l","4813","large","118","F"
"0","word","six + eight = fourteen","a","1953","large","118","T"
"0","word","three + three = six","a","1745","small","118","T"
"0","word","three + nine = twelve","a","2857","large","118","T"
"0","word","eight + eight = eighteen","l","2273","large","118","F"
"0","word","eight + two = ten","a","1393","small","118","T"
"0","word","six + five = ten","l","2240","large","118","F"
"0","digit","3 + 3 = 6","a","758","small","118","T"
"0","word","eight + seven = fifteen","a","2506","large","118","T"
"0","digit","2 + 7 = 9","a","1257","small","118","T"
"0","digit","6 + 7 = 13","a","3614","large","118","T"
"0","word","six + four = nine","l","2281","small","118","F"
"0","digit","4 + 2 = 6","a","1155","small","118","T"
"0","word","six + three = nine","a","1401","small","118","T"
"0","digit","6 + 4 = 10","a","669","small","118","T"
"0","digit","9 + 8 = 15","l","2297","large","118","F"
"0","word","three + eight = twelve","l","2873","small","118","F"
"0","word","nine + five = eleven","l","2906","large","118","F"
"0","digit","8 + 8 = 13","l","1579","large","118","F"
"0","digit","4 + 8 = 11","l","1723","large","118","F"
"0","word","four + eight = twelve","a","1801","large","118","T"
"0","word","five + three = eight","a","2230","small","118","T"
"0","digit","3 + 9 = 12","a","938","large","118","T"
"0","digit","3 + 4 = 7","a","642","small","118","T"
"0","digit","2 + 8 = 10","a","558","small","118","T"
"0","digit","9 + 6 = 11","l","943","large","118","F"
"0","word","three + four = six","l","2428","small","118","F"
"0","word","five + five = eight","l","1094","small","118","F"
"0","digit","7 + 7 = 14","a","906","large","118","T"
"0","digit","8 + 6 = 18","l","1205","large","118","F"
"0","digit","5 + 3 = 4","l","1395","small","118","F"
"0","digit","4 + 4 = 9","l","1080","small","118","F"
"0","word","two + nine = eleven","a","1980","small","118","T"
"0","word","two + four = six","a","1802","small","118","T"
"0","word","five + two = four","l","1299","small","118","F"
"0","digit","9 + 5 = 16","l","889","large","118","F"
"0","digit","3 + 6 = 7","l","1257","small","118","F"
"0","digit","2 + 2 = 6","l","859","small","118","F"
"0","word","seven + five = fourteen","l","3203","large","118","F"
"0","word","eight + five = seventeen","l","2124","large","118","F"
"0","word","seven + two = nine","a","1425","small","118","T"
"0","word","seven + six = thirteen","a","1842","large","118","T"
"0","digit","7 + 8 = 15","a","1258","large","118","T"
"0","word","seven + seven = fourteen","a","1034","large","118","T"
"0","digit","7 + 4 = 13","l","2291","large","118","F"
"0","digit","3 + 8 = 10","l","998","small","118","F"
"1","word","nine + six = fifteen","l","2868","large","118","T"
"0","digit","5 + 4 = 9","a","931","small","118","T"
"0","digit","6 + 5 = 14","l","1352","large","118","F"
"0","word","four + nine = thirteen","a","2228","large","118","T"
"0","digit","6 + 6 = 12","a","727","large","118","T"
"0","word","four + five = thirteen","l","2453","small","118","F"
"0","word","seven + four = twelve","l","5920","large","118","F"
"0","digit","9 + 9 = 17","l","864","large","118","F"
"0","word","seven + three = fourteen","l","2691","small","118","F"
"0","word","four + four = eight","a","1219","small","118","T"
"0","word","nine + nine = fifteen","l","1460","large","118","F"
"0","word","two + two = four","a","1651","small","118","T"
"0","word","three + two = seven","l","1557","small","118","F"
"1","word","nine + nine = eighteen","l","4710","large","118","T"
"1","word","three + five = twelve","a","3331","small","118","F"
"1","digit","8 + 8 = 16","l","1109","large","118","T"
"1","digit","2 + 2 = 4","l","948","small","118","T"
"1","word","two + two = five","a","3895","small","118","F"
"1","word","six + nine = fourteen","a","9359","large","118","F"
"1","digit","7 + 9 = 13","a","1704","large","118","F"
"1","word","six + six = twelve","l","1637","large","118","T"
"0","word","eight + three = eleven","a","3818","small","118","T"
"1","word","three + nine = eleven","a","3147","large","118","F"
"1","digit","4 + 9 = 16","a","1951","large","118","F"
"1","word","seven + eight = thirteen","a","3212","large","118","F"
"1","word","seven + six = twelve","a","7287","large","118","F"
"1","digit","3 + 7 = 10","l","2105","small","118","T"
"1","digit","6 + 5 = 11","l","859","large","118","T"
"1","word","two + seven = eight","a","1871","small","118","F"
"1","digit","8 + 3 = 11","l","2005","small","118","T"
"1","digit","8 + 7 = 12","a","1257","large","118","F"
"1","word","four + eight = nine","a","2557","large","118","F"
"1","word","two + eight = eleven","a","2989","small","118","F"
"1","digit","6 + 9 = 15","l","1457","large","118","T"
"0","word","three + seven = ten","a","2460","small","118","T"
"1","word","two + four = nine","a","3670","small","118","F"
"1","digit","3 + 3 = 7","a","1260","small","118","F"
"1","word","four + three = seven","l","1565","small","118","T"
"1","digit","9 + 5 = 14","l","2043","large","118","T"
"1","digit","3 + 2 = 4","a","1254","small","118","F"
"1","digit","8 + 6 = 14","l","921","large","118","T"
"1","word","two + five = seven","l","2665","small","118","T"
"1","word","five + eight = thirteen","l","2764","large","118","T"
"1","word","six + four = ten","l","1867","small","118","T"
"1","digit","9 + 8 = 17","l","1597","large","118","T"
"1","digit","2 + 9 = 8","a","1692","small","118","F"
"1","digit","3 + 5 = 8","l","875","small","118","T"
"0","digit","6 + 7 = 14","l","1420","large","118","F"
"1","digit","5 + 4 = 11","a","1928","small","118","F"
"1","digit","2 + 8 = 7","a","1901","small","118","F"
"1","digit","4 + 2 = 5","a","2603","small","118","F"
"1","digit","5 + 5 = 10","l","1367","small","118","T"
"1","word","five + seven = twelve","l","2550","large","118","T"
"1","word","four + four = six","a","1748","small","118","F"
"1","word","eight + nine = seventeen","l","4265","large","118","T"
"1","digit","9 + 9 = 18","l","658","large","118","T"
"1","digit","8 + 4 = 12","l","742","large","118","T"
"1","word","three + three = four","a","1421","small","118","F"
"1","word","three + two = five","l","1595","small","118","T"
"1","digit","7 + 2 = 6","a","1014","small","118","F"
"1","digit","3 + 6 = 9","l","1003","small","118","T"
"1","digit","4 + 6 = 13","a","1963","small","118","F"
"1","digit","4 + 3 = 9","a","1671","small","118","F"
"1","word","six + two = eight","l","2233","small","118","T"
"1","word","seven + four = eleven","l","2234","large","118","T"
"1","digit","7 + 4 = 11","l","804","large","118","T"
"1","word","eight + six = seventeen","a","2598","large","118","F"
"1","word","eight + eight = sixteen","l","2349","large","118","T"
"1","word","five + four = nine","l","1852","small","118","T"
"1","word","four + nine = sixteen","a","3695","large","118","F"
"1","digit","5 + 2 = 7","l","682","small","118","T"
"1","word","seven + seven = fifteen","a","2379","large","118","F"
"1","word","five + five = ten","l","1042","small","118","T"
"1","digit","6 + 6 = 15","a","1357","large","118","F"
"1","word","two + nine = ten","a","1883","small","118","F"
"1","digit","6 + 2 = 8","l","1008","small","118","T"
"1","digit","4 + 4 = 8","l","714","small","118","T"
"1","word","seven + nine = eighteen","a","4712","large","118","F"
"1","word","three + six = seven","a","3131","small","118","F"
"1","digit","3 + 9 = 10","a","1337","large","118","F"
"1","word","six + five = eleven","l","1736","large","118","T"
"1","word","nine + five = fourteen","l","3500","large","118","T"
"1","digit","5 + 7 = 11","a","1370","large","118","F"
"1","digit","7 + 7 = 18","a","1034","large","118","F"
"1","digit","5 + 8 = 17","a","2379","large","118","F"
"1","digit","4 + 6 = 10","l","1751","small","118","T"
"1","word","three + three = six","l","1415","small","118","T"
"1","digit","5 + 5 = 12","a","827","small","118","F"
"0","word","six + eight = fourteen","a","2698","large","118","T"
"1","digit","3 + 9 = 12","l","1278","large","118","T"
"1","digit","8 + 8 = 15","a","968","large","118","F"
"1","word","four + four = eight","l","2742","small","118","T"
"1","digit","5 + 8 = 13","l","968","large","118","T"
"1","digit","7 + 3 = 6","a","895","small","118","F"
"1","word","eight + three = seven","a","2582","small","118","F"
"1","word","three + four = five","a","2251","small","118","F"
"1","digit","6 + 6 = 12","l","800","large","118","T"
"1","digit","4 + 9 = 13","l","923","large","118","T"
"1","digit","6 + 2 = 11","a","1244","small","118","F"
"1","digit","9 + 2 = 11","l","1016","small","118","T"
"1","digit","9 + 5 = 18","a","1308","large","118","F"
"1","word","six + five = fourteen","a","1491","large","118","F"
"1","word","four + five = ten","a","2726","small","118","F"
"1","word","eight + four = twelve","l","1804","large","118","T"
"0","digit","2 + 8 = 10","a","875","small","118","T"
"1","digit","3 + 4 = 7","l","1972","small","118","T"
"1","word","nine + nine = seventeen","a","2442","large","118","F"
"1","digit","6 + 7 = 13","l","1366","large","118","T"
"1","digit","6 + 8 = 17","a","1259","large","118","F"
"1","word","seven + eight = fifteen","l","2582","large","118","T"
"1","digit","4 + 2 = 6","l","1403","small","118","T"
"1","digit","2 + 5 = 4","a","1403","small","118","F"
"1","digit","7 + 7 = 14","l","838","large","118","T"
"1","word","nine + four = thirteen","l","4202","large","118","T"
"1","digit","3 + 8 = 9","a","1253","small","118","F"
"1","digit","4 + 4 = 10","a","873","small","118","F"
"1","digit","9 + 9 = 16","a","1131","large","118","F"
"1","digit","2 + 2 = 5","a","618","small","118","F"
"1","word","five + eight = fifteen","a","2837","large","118","F"
"1","word","six + nine = fifteen","l","2058","large","118","T"
"1","word","seven + nine = sixteen","l","1866","large","118","T"
"1","word","two + eight = ten","l","1615","small","118","T"
"1","digit","7 + 5 = 12","l","802","large","118","T"
"1","word","two + nine = eleven","l","1522","small","118","T"
"1","word","six + seven = thirteen","l","1952","large","118","T"
"1","digit","6 + 9 = 12","a","1008","large","118","F"
"1","word","two + seven = nine","l","1060","small","118","T"
"1","word","six + two = seven","a","1627","small","118","F"
"1","word","six + six = eleven","a","1586","large","118","F"
"1","word","three + nine = twelve","l","1388","large","118","T"
"1","word","four + seven = fifteen","a","1468","large","118","F"
"1","word","eight + eight = thirteen","a","1296","large","118","F"
