"correct","format","problem","response","response_time","size","subject_nr","truth"
"1","digit","2 + 8 = 10","l","1157","small","110","T"
"1","word","six + eight = fourteen","l","3653","large","110","T"
"1","word","three + four = six","a","2712","small","110","F"
"1","digit","5 + 5 = 8","a","1166","small","110","F"
"1","digit","6 + 6 = 12","l","968","large","110","T"
"1","word","seven + six = thirteen","l","5601","large","110","T"
"0","digit","5 + 7 = 12","a","3360","large","110","T"
"1","word","five + three = eight","l","2435","small","110","T"
"1","word","six + four = nine","a","2370","small","110","F"
"1","digit","3 + 6 = 7","a","1723","small","110","F"
"1","digit","3 + 8 = 10","a","1614","small","110","F"
"1","word","eight + eight = eighteen","a","2044","large","110","F"
"1","digit","9 + 8 = 15","a","2165","large","110","F"
"1","digit","7 + 4 = 13","a","5320","large","110","F"
"1","digit","6 + 5 = 14","a","2546","large","110","F"
"1","digit","6 + 7 = 13","l","4687","large","110","T"
"1","digit","2 + 5 = 11","a","1362","small","110","F"
"1","digit","5 + 3 = 4","a","1615","small","110","F"
"1","word","eight + five = seventeen","a","2892","large","110","F"
"1","digit","9 + 5 = 16","a","1502","large","110","F"
"1","digit","8 + 8 = 13","a","1387","large","110","F"
"1","digit","8 + 6 = 18","a","2524","large","110","F"
"1","digit","7 + 7 = 14","l","950","large","110","T"
"1","word","three + eight = twelve","a","2704","small","110","F"
"1","digit","4 + 9 = 13","l","2403","large","110","T"
"1","digit","2 + 9 = 11","l","2240","small","110","T"
"1","word","two + four = six","l","1906","small","110","T"
"1","word","six + six = nine","a","1170","large","110","F"
"1","word","seven + five = fourteen","a","3434","large","110","F"
"1","digit","2 + 2 = 6","a","1683","small","110","F"
"1","digit","2 + 7 = 9","l","1390","small","110","T"
"1","digit","2 + 3 = 5","l","1667","small","110","T"
"1","word","seven + three = fourteen","a","2380","small","110","F"
"1","word","six + three = nine","l","1762","small","110","T"
"1","word","four + five = thirteen","a","2045","small","110","F"
"1","digit","4 + 2 = 6","l","1266","small","110","T"
"1","digit","7 + 3 = 12","a","2268","small","110","F"
"1","word","six + five = ten","a","2206","large","110","F"
"1","word","eight + seven = fifteen","l","2162","large","110","T"
"1","digit","3 + 9 = 12","l","3114","large","110","T"
"1","digit","6 + 4 = 10","l","1741","small","110","T"
"1","word","five + five = eight","a","1575","small","110","F"
"1","word","three + two = seven","a","2187","small","110","F"
"1","word","four + four = eight","l","1017","small","110","T"
"1","word","three + nine = twelve","l","2020","large","110","T"
"1","word","seven + two = nine","l","1498","small","110","T"
"1","word","nine + six = fifteen","l","2259","large","110","T"
"1","digit","4 + 4 = 9","a","1093","small","110","F"
"1","digit","3 + 4 = 7","l","1750","small","110","T"
"1","digit","9 + 6 = 11","a","1558","large","110","F"
"1","digit","3 + 3 = 6","l","809","small","110","T"
"1","word","seven + seven = fourteen","l","1529","large","110","T"
"1","word","seven + nine = sixteen","l","1973","large","110","T"
"1","digit","9 + 9 = 17","a","1430","large","110","F"
"1","word","four + nine = thirteen","l","2009","large","110","T"
"1","digit","7 + 8 = 15","l","4118","large","110","T"
"1","word","two + two = four","l","1285","small","110","T"
"1","digit","5 + 4 = 9","l","1623","small","110","T"
"1","word","four + eight = twelve","l","2050","large","110","T"
"1","digit","4 + 8 = 11","a","2435","large","110","F"
"1","word","eight + nine = sixteen","a","2806","large","110","F"
"1","word","nine + nine = fifteen","a","1667","large","110","F"
"1","word","eight + two = ten","l","1942","small","110","T"
"1","word","two + nine = eleven","l","1796","small","110","T"
"1","word","three + three = six","l","1764","small","110","T"
"1","digit","7 + 9 = 16","l","1729","large","110","T"
"1","digit","5 + 8 = 13","l","3241","large","110","T"
"1","word","nine + five = eleven","a","2532","large","110","F"
"1","word","seven + four = twelve","a","4415","large","110","F"
"1","digit","6 + 2 = 5","a","1909","small","110","F"
"0","word","two + six = five","l","2118","small","110","F"
"1","word","five + two = four","a","2020","small","110","F"
"1","digit","6 + 9 = 15","l","2309","large","110","T"
"1","digit","3 + 3 = 7","a","1053","small","110","F"
"1","word","eight + three = eleven","l","2023","small","110","T"
"1","word","three + six = seven","a","2105","small","110","F"
"1","digit","4 + 3 = 9","a","1851","small","110","F"
"1","digit","9 + 5 = 14","l","1432","large","110","T"
"1","word","three + two = five","l","1309","small","110","T"
"1","word","seven + six = twelve","a","2506","large","110","F"
"1","word","two + four = nine","a","2064","small","110","F"
"1","word","seven + eight = thirteen","a","1958","large","110","F"
"1","digit","4 + 2 = 5","a","1457","small","110","F"
"1","digit","8 + 8 = 16","l","936","large","110","T"
"1","word","three + nine = eleven","a","3669","large","110","F"
"1","word","eight + eight = sixteen","l","1143","large","110","T"
"1","digit","3 + 2 = 4","a","1576","small","110","F"
"1","digit","5 + 7 = 11","a","3782","large","110","F"
"1","digit","9 + 8 = 17","l","1467","large","110","T"
"1","digit","2 + 2 = 4","l","949","small","110","T"
"1","word","four + eight = nine","a","2962","large","110","F"
"0","word","six + five = eleven","a","2284","large","110","T"
