"correct","format","problem","response","response_time","size","subject_nr","truth"
"1","word","six + eight = fourteen","a","4517","large","125","T"
"1","digit","7 + 8 = 15","a","4617","large","125","T"
"1","digit","4 + 4 = 9","l","998","small","125","F"
"1","word","six + five = ten","l","2776","large","125","F"
"1","digit","2 + 2 = 6","l","1031","small","125","F"
"0","word","seven + nine = sixteen","l","2445","large","125","T"
"1","word","three + two = seven","l","1880","small","125","F"
"1","digit","9 + 8 = 15","l","3437","large","125","F"
"0","word","eight + two = ten","l","1666","small","125","T"
"1","word","five + five = eight","l","1185","small","125","F"
"1","word","eight + seven = fifteen","a","1951","large","125","T"
"1","digit","4 + 9 = 13","a","2246","large","125","T"
"1","word","three + nine = twelve","a","2452","large","125","T"
"1","word","four + five = thirteen","l","2161","small","125","F"
"1","word","three + three = six","a","1198","small","125","T"
"1","word","eight + nine = sixteen","l","3812","large","125","F"
"1","digit","9 + 9 = 17","l","1131","large","125","F"
"1","digit","3 + 3 = 6","a","751","small","125","T"
"1","word","two + six = five","l","1693","small","125","F"
"1","word","six + four = nine","l","1805","small","125","F"
"1","word","six + six = nine","l","1558","large","125","F"
"1","word","five + three = eight","a","1864","small","125","T"
"1","digit","9 + 6 = 11","l","3062","large","125","F"
"1","digit","7 + 3 = 12","l","1279","small","125","F"
"1","word","seven + five = fourteen","l","2625","large","125","F"
"0","digit","6 + 7 = 13","l","1478","large","125","T"
"1","digit","9 + 5 = 16","l","2119","large","125","F"
"1","word","nine + six = fifteen","a","3360","large","125","T"
"1","digit","3 + 6 = 7","l","1172","small","125","F"
"1","word","four + nine = thirteen","a","2165","large","125","T"
"0","word","four + eight = twelve","l","2115","large","125","T"
"1","digit","3 + 9 = 12","a","1279","large","125","T"
"0","digit","3 + 8 = 10","a","1636","small","125","F"
"0","digit","4 + 2 = 6","l","1175","small","125","T"
"1","word","eight + five = seventeen","l","3234","large","125","F"
"1","word","six + three = nine","a","1432","small","125","T"
"1","word","seven + six = thirteen","a","2562","large","125","T"
"1","digit","8 + 6 = 18","l","1423","large","125","F"
"1","word","two + nine = eleven","a","2013","small","125","T"
"1","digit","7 + 7 = 14","a","758","large","125","T"
"1","word","seven + two = nine","a","1079","small","125","T"
